epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1069.53,0.93619,0.49286,1.12722,0.96815,0.96274,0.9716,0.61659,1.17784,0.44377,1.21363,0.005842,0.005842,0.005842
44,2142.63,0.93943,0.498,1.12584,0.97041,0.96151,0.97201,0.61628,1.17561,0.44116,1.20376,0.005743,0.005743,0.005743
45,3212.59,0.93593,0.49483,1.1241,0.96769,0.96151,0.96928,0.61557,1.18105,0.44484,1.2047,0.005644,0.005644,0.005644
46,4282.9,0.93289,0.49342,1.12367,0.96871,0.96203,0.97002,0.61732,1.17674,0.44162,1.20373,0.005545,0.005545,0.005545
47,5355.05,0.92482,0.48812,1.1154,0.96869,0.9635,0.97283,0.6217,1.17488,0.44222,1.19958,0.005446,0.005446,0.005446
48,6434.69,0.9237,0.48487,1.10984,0.9715,0.96124,0.97171,0.61837,1.1731,0.43956,1.1852,0.005347,0.005347,0.005347
49,7503.94,0.91627,0.4817,1.10792,0.96971,0.96287,0.97239,0.61497,1.17393,0.43999,1.18525,0.005248,0.005248,0.005248
50,8574,0.91221,0.4779,1.1062,0.96868,0.96349,0.97331,0.61596,1.17861,0.43716,1.19577,0.005149,0.005149,0.005149
51,9646.63,0.91015,0.476,1.10919,0.96947,0.96292,0.9741,0.6166,1.18165,0.43782,1.20291,0.00505,0.00505,0.00505
52,10715.5,0.90253,0.47271,1.10524,0.97045,0.96084,0.97386,0.61841,1.18547,0.43455,1.20749,0.004951,0.004951,0.004951
53,11784,0.89694,0.46613,1.09956,0.96994,0.96,0.97187,0.61693,1.18348,0.43654,1.21072,0.004852,0.004852,0.004852
54,12853.7,0.89699,0.4673,1.09934,0.96698,0.96381,0.97225,0.6201,1.18117,0.43621,1.20681,0.004753,0.004753,0.004753
55,13923.7,0.89359,0.46326,1.09684,0.96642,0.96314,0.97111,0.61951,1.17915,0.43686,1.20575,0.004654,0.004654,0.004654
56,14993.4,0.89466,0.46648,1.10244,0.96841,0.9617,0.97272,0.61894,1.17963,0.43865,1.20919,0.004555,0.004555,0.004555
57,1091,0.86093,0.43983,1.0826,0.97026,0.95905,0.97356,0.61829,1.17639,0.43727,1.20929,0.004456,0.004456,0.004456
58,2186.91,0.86709,0.44725,1.08889,0.97228,0.95729,0.97366,0.61764,1.18008,0.43495,1.21204,0.004357,0.004357,0.004357
59,3282.32,0.86536,0.44515,1.08481,0.97307,0.95656,0.97247,0.61791,1.18269,0.43641,1.21113,0.004258,0.004258,0.004258
60,4376.7,0.86121,0.4428,1.08054,0.96886,0.96288,0.97221,0.61592,1.18178,0.43617,1.20846,0.004159,0.004159,0.004159
61,5471.29,0.85529,0.43935,1.0753,0.96908,0.96284,0.97248,0.61676,1.1809,0.43652,1.20616,0.00406,0.00406,0.00406
62,6565.58,0.85295,0.43749,1.07534,0.96731,0.96417,0.97245,0.61743,1.18226,0.43672,1.20591,0.003961,0.003961,0.003961
63,7660.16,0.84649,0.43399,1.07402,0.9676,0.96226,0.97139,0.61651,1.18328,0.4404,1.20807,0.003862,0.003862,0.003862
64,8753.98,0.84438,0.43066,1.0714,0.96747,0.96192,0.97155,0.61605,1.18463,0.43996,1.20903,0.003763,0.003763,0.003763
65,9847.22,0.84318,0.43211,1.07551,0.9669,0.96477,0.97274,0.61617,1.18687,0.44008,1.21294,0.003664,0.003664,0.003664
66,10940.5,0.83916,0.42988,1.07189,0.96733,0.96357,0.9729,0.61661,1.18651,0.43821,1.21195,0.003565,0.003565,0.003565
67,12036.3,0.83692,0.42476,1.0684,0.96892,0.96278,0.97375,0.61653,1.18516,0.43607,1.21117,0.003466,0.003466,0.003466
68,13130.8,0.8396,0.42782,1.07183,0.96817,0.96448,0.97388,0.61686,1.18369,0.43609,1.20973,0.003367,0.003367,0.003367
69,14224.5,0.8428,0.42752,1.07196,0.96787,0.96316,0.97286,0.61559,1.18317,0.43662,1.2099,0.003268,0.003268,0.003268
70,15318.9,0.84768,0.43222,1.07621,0.9685,0.96594,0.97375,0.61537,1.185,0.43525,1.21285,0.003169,0.003169,0.003169
71,1054.57,0.78424,0.39206,1.04212,0.96873,0.9657,0.97375,0.61541,1.18504,0.43417,1.21282,0.00307,0.00307,0.00307
72,2109.53,0.79464,0.40065,1.04776,0.96781,0.96666,0.97399,0.61528,1.18566,0.43436,1.2138,0.002971,0.002971,0.002971
73,3163.36,0.79689,0.40018,1.05155,0.96782,0.96676,0.97388,0.61514,1.1851,0.43559,1.2135,0.002872,0.002872,0.002872
74,4217.52,0.79596,0.40203,1.05656,0.96731,0.96733,0.9739,0.61406,1.18514,0.43601,1.21404,0.002773,0.002773,0.002773
75,5270.13,0.79345,0.40028,1.05013,0.96782,0.96724,0.97381,0.61463,1.18639,0.43589,1.21506,0.002674,0.002674,0.002674
76,6322.64,0.79361,0.39913,1.04588,0.96773,0.96707,0.97369,0.61511,1.18614,0.43599,1.21485,0.002575,0.002575,0.002575
77,7376.33,0.78797,0.39569,1.04315,0.96751,0.96708,0.97375,0.61302,1.18709,0.43671,1.21525,0.002476,0.002476,0.002476
78,8431.3,0.78991,0.39566,1.0436,0.96743,0.96716,0.97376,0.61308,1.18824,0.43518,1.21704,0.002377,0.002377,0.002377
79,9481.59,0.78919,0.39644,1.04884,0.96753,0.96714,0.97353,0.61277,1.1881,0.43475,1.2178,0.002278,0.002278,0.002278
80,1068.14,0.7434,0.36909,1.02527,0.96754,0.967,0.97347,0.61287,1.18823,0.43538,1.21797,0.002179,0.002179,0.002179
81,2146.77,0.755,0.37752,1.02878,0.9675,0.96643,0.97354,0.61201,1.18794,0.43554,1.21853,0.00208,0.00208,0.00208
82,3224.78,0.76068,0.37752,1.03291,0.96746,0.96623,0.97346,0.61199,1.18847,0.43494,1.21869,0.001981,0.001981,0.001981
83,4300.6,0.76407,0.38153,1.03357,0.96737,0.96621,0.97347,0.61196,1.18845,0.43516,1.21859,0.001882,0.001882,0.001882
84,5377.05,0.76155,0.37989,1.03554,0.96749,0.9663,0.97352,0.61195,1.18896,0.43536,1.21979,0.001783,0.001783,0.001783
85,6453.25,0.76344,0.38033,1.03476,0.96653,0.96573,0.97322,0.61125,1.18961,0.43516,1.22078,0.001684,0.001684,0.001684
86,7531.44,0.75954,0.37729,1.02935,0.96651,0.96564,0.97311,0.61107,1.19083,0.43568,1.22198,0.001585,0.001585,0.001585
87,8607.91,0.7642,0.37753,1.0305,0.96724,0.96623,0.9736,0.61112,1.19066,0.43598,1.22245,0.001486,0.001486,0.001486
88,9685.32,0.7621,0.37804,1.03203,0.96708,0.96615,0.9737,0.61093,1.19088,0.4363,1.22262,0.001387,0.001387,0.001387
89,10761.8,0.76497,0.38014,1.03657,0.96715,0.9662,0.97377,0.61064,1.19152,0.43651,1.22334,0.001288,0.001288,0.001288
90,11838.8,0.76389,0.37866,1.03353,0.96602,0.96608,0.97327,0.6105,1.19099,0.43615,1.22328,0.001189,0.001189,0.001189
91,12911,0.85741,0.35732,1.08303,0.96591,0.96608,0.97331,0.61097,1.19132,0.43632,1.22404,0.00109,0.00109,0.00109
92,13983.6,0.84519,0.35155,1.08053,0.96602,0.96601,0.97321,0.61138,1.1899,0.43673,1.22326,0.000991,0.000991,0.000991
93,15055.8,0.83516,0.34731,1.07238,0.96651,0.96432,0.97304,0.61101,1.19034,0.4362,1.22453,0.000892,0.000892,0.000892
94,1067.79,0.70506,0.34791,1.0083,0.9663,0.96417,0.97291,0.61119,1.19067,0.43597,1.2249,0.000793,0.000793,0.000793
95,2138.11,0.71273,0.35181,1.01066,0.96617,0.96441,0.97295,0.6102,1.19077,0.43692,1.22546,0.000694,0.000694,0.000694
96,3208.14,0.71696,0.35184,1.01426,0.96583,0.96459,0.97301,0.61105,1.19079,0.43722,1.22564,0.000595,0.000595,0.000595
97,4278.11,0.71951,0.35429,1.01391,0.96584,0.96456,0.97295,0.61066,1.19108,0.43793,1.2262,0.000496,0.000496,0.000496
98,5346.93,0.71649,0.35291,1.01184,0.96579,0.96457,0.97288,0.61054,1.19172,0.43887,1.22691,0.000397,0.000397,0.000397
99,6415.23,0.72047,0.3539,1.01345,0.96562,0.96477,0.97292,0.61014,1.19205,0.43913,1.22716,0.000298,0.000298,0.000298
100,7484.1,0.71962,0.35238,1.01311,0.96554,0.96484,0.97281,0.60969,1.19221,0.43926,1.22744,0.000199,0.000199,0.000199
